City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,ancud,-41.8697,-73.8203,6.57,82,61,1.33,CL,1726546076
330,karamay,45.6004,84.8661,19.07,35,35,4.06,CN,1726546077
331,rongelap,11.1635,166.8941,28.65,72,6,3.03,MH,1726546078
332,birjand,32.8663,59.2211,23.57,29,0,0.8,IR,1726546079
333,beyneu,45.3167,55.2,17.61,25,66,8.33,KZ,1726546080
334,lakatoro,-16.0999,167.4164,24.53,73,94,6.39,VU,1726546081
335,hammerfest,70.6634,23.6821,10.25,87,75,1.03,NO,1726546083
336,kurayoshi,35.4333,133.8167,30.77,68,72,1.75,JP,1726546084
337,bliss corner,41.6118,-70.9384,16.84,93,88,0.45,US,1726546085
338,hadibu,12.65,54.0333,25.96,81,38,6.43,YE,1726546086
339,esperanza,19.5847,-70.9849,26.83,87,66,2.24,DO,1726546087
340,paraiso,9.8383,-83.8656,19.12,94,100,1.12,CR,1726546088
341,hood river,45.7054,-121.5215,20.21,69,0,2.68,US,1726546089
342,kasempa,-13.4584,25.8338,18.98,31,0,3.09,ZM,1726546090
343,mildura,-34.2,142.15,19.48,35,0,4.75,AU,1726546091
344,revelstoke,50.9832,-118.2023,12.62,76,15,0.5,CA,1726546092
345,azemmour,33.2895,-8.3425,19.52,91,1,2.91,MA,1726546093
346,zambezi,-13.5432,23.1047,17.62,24,0,2.58,ZM,1726546094
347,hinton,53.4001,-117.5857,9.85,73,100,0.84,CA,1726546095
348,maqat,47.65,53.3167,16.79,25,8,8.98,KZ,1726546096
349,abeche,13.8292,20.8324,24.89,64,100,2.48,TD,1726546098
350,port macquarie,-31.4333,152.9167,19.48,57,10,1.79,AU,1726545836
351,sambava,-14.2667,50.1667,20.95,71,18,3.71,MG,1726546100
352,kongoussi,13.3258,-1.5347,25.45,80,90,2.71,BF,1726546101
353,severo-yeniseyskiy,60.3725,93.0408,4.83,75,100,4.16,RU,1726546102
354,high rock,26.6208,-78.2833,29.49,71,100,1.03,BS,1726546103
355,lazaro cardenas,17.9583,-102.2,27.8,83,100,2.06,MX,1726546104
356,quang ngai,15.1167,108.8,31.49,61,100,3.41,VN,1726546105
357,gadzhiyevo,69.2551,33.3362,9.27,84,99,5.11,RU,1726546106
358,farasan,16.7022,42.1183,30.65,79,95,4.23,SA,1726546107
359,talara,-4.5772,-81.2719,17.93,83,38,6.99,PE,1726546108
360,mineros,-17.1167,-63.2333,19.53,50,2,2.25,BO,1726546109
361,revda,56.801,59.9303,10.42,58,0,1.38,RU,1726546110
362,leua,48.2156,18.6071,10.06,93,42,0.54,SK,1726546111
